stop_id,stop_name,location_type,parent_station,stop_lat,stop_lon
de:09373:17059:0:1,Neumarkt Kohlenbrunnermühlstr.,,,11.47593284,11.47593284
de:09373:17060:0:1,Neumarkt Kornstr.,,,11.46386846,11.46386846
de:09373:17060:0:2,Neumarkt Kornstr.,,,11.46376965,11.46376965
de:09373:17061:0:1,Neumarkt Kapuzinerhölzl,,,11.47779235,11.47779235
de:09373:17062:0:1,Neumarkt Klinikum,,,11.45200172,11.45200172
de:09373:17062:0:2,Neumarkt Klinikum,,,11.45237003,11.45237003
de:09373:17063:0:1,Neumarkt Landesgartenschau,,,11.46100284,11.46100284
de:09373:17065:0:1,Neumarkt Landratsamt,,,11.45643041,11.45643041
de:09373:17065:0:2,Neumarkt Landratsamt,,,11.45623278,11.45623278
de:09373:17066:0:1,Neumarkt Leipziger Str.,,,11.47591487,11.47591487
de:09373:17067:0:1,Neumarkt Ludwig-Wifling-Str.,,,11.46828818,11.46828818
de:09373:17067:0:2,Neumarkt Ludwig-Wifling-Str.,,,11.4685397,11.4685397
de:09373:17068:0:1,Neumarkt Mariahilfstr.,,,11.47613945,11.47613945
de:09373:17068:0:2,Neumarkt Mariahilfstr.,,,11.47604064,11.47604064
de:09373:17071:0:1,Neumarkt Max-Künzel-Str.,,,11.44562368,11.44562368
de:09373:17071:0:2,Neumarkt Max-Künzel-Str.,,,11.44559673,11.44559673
de:09373:17072:0:1,Neumarkt Medererstr.,,,11.46606035,11.46606035
de:09373:17072:0:2,Neumarkt Medererstr.,,,11.46615019,11.46615019
de:09373:17075:0:1,Neumarkt Nobelstr.,,,11.47432485,11.47432485
de:09373:17075:0:2,Neumarkt Nobelstr.,,,11.47444164,11.47444164
de:09373:17077:0:1,Neumarkt Milchhofstr.,,,11.46060758,11.46060758
de:09373:17077:0:2,Neumarkt Milchhofstr.,,,11.46040995,11.46040995
de:09373:17078:0:1,Neumarkt Nürnberger Str.,,,11.44510266,11.44510266
de:09373:17078:0:2,Neumarkt Nürnberger Str.,,,11.44496791,11.44496791
de:09373:17079:0:2,Neumarkt Weißenfeldplatz,,,11.46358999,11.46358999
de:09373:17080:0:1,Neumarkt Oberer Markt,,,11.46028419,11.46028419
de:09373:17080:0:2,Neumarkt Oberer Markt,,,11.46023029,11.46023029
de:09373:17081:0:1,Neumarkt Oberer Lährer Weg,,,11.47209703,11.47209703
de:09373:17081:0:2,Neumarkt Oberer Lährer Weg,,,11.47221381,11.47221381
de:09373:17083:0:1,Neumarkt Pelchenhofener Str.,,,11.47449553,11.47449553
de:09373:17083:0:2,Neumarkt Pelchenhofener Str.,,,11.47383078,11.47383078
de:09373:17084:0:1,Neumarkt Pulveräcker,,,11.46979735,11.46979735
de:09373:17086:0:1,Neumarkt Regensburger Str.,,,11.47617538,11.47617538
de:09373:17086:0:2,Neumarkt Regensburger Str.,,,11.47631911,11.47631911
de:09373:17088:0:1,Neumarkt Regerstr.,,,11.48037052,11.48037052
de:09373:17089:0:1,Neumarkt Saarlandstr.,,,11.47132448,11.47132448
de:09373:17089:0:2,Neumarkt Saarlandstr.,,,11.47113584,11.47113584
de:09373:17090:0:1,Neumarkt Rathaus,,,11.45849654,11.45849654
de:09373:17090:0:2,Neumarkt Rathaus,,,11.45829891,11.45829891
de:09373:17091:0:1,Neumarkt Sachsenstr.,,,11.4713155,11.4713155
de:09373:17092:0:1,Neumarkt Schillerstr.,,,11.47782828,11.47782828
de:09373:17095:0:1,Neumarkt St.-Anna-Str.,,,11.44990865,11.44990865
de:09373:17095:0:2,Neumarkt St.-Anna-Str.,,,11.44980085,11.44980085
de:09373:17096:0:1,Neumarkt Sturmwiese,,,11.48094544,11.48094544
de:09373:17096:0:2,Neumarkt Sturmwiese,,,11.48034357,11.48034357
de:09373:17097:0:1,Neumarkt Museum Lothar Fischer,,,11.46329354,11.46329354
de:09373:17097:0:2,Neumarkt Museum Lothar Fischer,,,11.46306896,11.46306896
de:09373:17098:0:1,Neumarkt Stadtwerke,,,11.4606525,11.4606525
de:09373:17098:0:2,Neumarkt Stadtwerke,,,11.46088606,11.46088606
de:09373:17099:0:1,Neumarkt Volksfestplatz,,,11.44686336,11.44686336
de:09373:17099:0:2,Neumarkt Volksfestplatz,,,11.44579436,11.44579436
de:09373:17101:0:1,Neumarkt Wallensteinstr.,,,11.44244365,11.44244365
de:09373:17101:0:2,Neumarkt Wallensteinstr.,,,11.4423628,11.4423628
de:09373:17102:0:1,Neumarkt Weinberger S./Schule,,,11.46781207,11.46781207
de:09373:17102:0:2,Neumarkt Weinberger S./Schule,,,11.46812648,11.46812648
de:09373:17103:0:1,Neumarkt Wildbadstr.,,,11.47130652,11.47130652
de:09373:17103:0:2,Neumarkt Wildbadstr.,,,11.47151313,11.47151313
de:09373:17105:0:1,Neumarkt Wilhelm-Busch-Str.,,,11.47553758,11.47553758
de:09373:17106:0:1,Neumarkt Woffenbacher Str.,,,11.44088058,11.44088058
de:09373:17106:0:2,Neumarkt Woffenbacher Str.,,,11.44077278,11.44077278
de:09373:17107:0:1,Neumarkt Zedernweg,,,11.48003814,11.48003814
de:09373:17108:0:1,Neumarkt Ziegelhüttenweg,,,11.47186347,11.47186347
de:09373:17108:0:2,Neumarkt Ziegelhüttenweg,,,11.47201618,11.47201618
de:09373:17110:0:1,Neumarkt Hasenheide Försterst.,,,11.46356304,11.46356304
de:09373:17111:0:1,Altenhof (b.NM) Breslauer Str.,,,11.46919547,11.46919547
de:09373:17112:0:1,Altenhof (b.NM) Eichendorffstr,,,11.46244913,11.46244913
de:09373:17113:0:1,Altenhof (NM) Geschäftszentrum,,,11.46503627,11.46503627
de:09373:17114:0:1,Neumarkt Schönwerthstr.,,,11.4703004,11.4703004
