stop_name,total_passengers,weekday_passengers,zone,priority,current_routes,route_count,demand_pattern,service_recommendation
Oberer Lährer Weg,1.5,1.5,suburban,low,567,1,business_focused,Consider stop consolidation
Dientzenhoferstr.,1.3,1.3,remote,low,567,1,business_focused,Consider stop consolidation
Triftstr.,1.2,1.2,suburban,low,562,1,business_focused,Consider stop consolidation
Schafhof,1.2,1.2,remote,low,564,1,business_focused,Consider stop consolidation
Fa. Dehn,1.2,1.2,suburban,low,568,1,business_focused,Consider stop consolidation
Freystädter Str.,0.8,0.8,suburban,low,569,1,business_focused,Consider stop consolidation
Milchhofstr.,0.6,0.0,remote,low,563,1,leisure_focused,Consider stop consolidation
Pulveräcker,0.4,0.4,suburban,low,564,1,business_focused,Consider stop consolidation
Faberpark,0.2,0.2,suburban,low,564,1,business_focused,Consider stop consolidation
Amberger Str.,0.1,0.1,remote,low,564,1,business_focused,Consider stop consolidation
Fa. Aptiv,0.1,0.1,suburban,low,569,1,business_focused,Consider stop consolidation
Alois-Senefelder-Str.,0.0,0.0,suburban,low,569,1,leisure_focused,Consider stop consolidation
