Bauhauptgewerbe seit 2019;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;
;;2019;;;2020;;;2021;;;2022;;;2023;;
;;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR
9274;    Landshut (Lkr);245;2707;392209;246;2717;390945;274;2960;414770;290;2979;451006;292;2954;503402
9275;    Passau (Lkr);273;3398;454772;266;3390;509223;288;3424;570713;305;3488;488792;306;3437;552399
9276;    Regen (Lkr);140;2110;281155;133;2112;278607;148;2213;326481;158;2310;277209;154;2354;315292
9277;    Rottal-Inn (Lkr);200;2893;463932;202;2920;497691;225;3147;572433;240;3151;519760;248;3176;618923
9278;    Straubing-Bogen (Lkr);153;1666;237557;152;1687;223740;163;1722;245139;167;1667;226372;166;1650;251365
9279;    Dingolfing-Landau (Lkr);104;1106;165725;103;1088;178092;111;1180;188373;116;1196;191635;116;1147;218487
9361;    Amberg (Krfr.St);25;745;191823;27;737;231942;30;773;258160;36;790;243644;37;758;251310
9362;    Regensburg (Krfr.St);46;845;172599;43;977;209322;40;962;199030;47;962;202898;48;992;251559
9363;    Weiden i.d.OPf. (Krfr.St);29;576;73100;30;596;76279;31;596;75949;31;576;79480;35;601;97847
9371;    Amberg-Sulzbach (Lkr);125;1508;236906;131;1575;240812;141;1618;258757;145;1608;251041;145;1606;299409
9372;    Cham (Lkr);262;3754;550974;260;3842;576690;278;3999;690171;282;4147;685255;296;4259;805964
