Tourismus seit 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;  Oberfranken;863;34144;2119571;232810;1886761;5173811;466598;4707213;2,4;2;2,5;90488;537808;5,9;880;36131;2187041;228345;1958696;5296229;449091;4847138;2,4;2;2,5;92444;538458;5,8;804;32629;1238065;82882;1155183;3295294;206900;3088394;2,7;2,5;2,7;54131;325187;6;818;33388;1246487;80929;1165558;3509727;232595;3277132;2,8;2,9;2,8;59605;358369;6;833;35196;1956783;175108;1781675;4992537;424353;4568184;2,551400436;2,423378715;2,563982769;74021;408910;5,5;831;34933;2166038;205192;1960846;5411421;467143;4944278;2,498303816;2,276614098;2,521502454;79754;430477;5,4
95;  Mittelfranken;971;50815;4368028;1234140;3133888;8820917;2236597;6584320;2;1,8;2,1;29072;154872;5,3;978;51458;4385009;1212030;3172979;8804677;2175748;6628929;2;1,8;2,1;26825;149109;5,6;917;46851;1997253;351156;1646097;4587413;721637;3865776;2,3;2,1;2,3;14406;94014;6,5;932;50839;2092382;333220;1759162;4972605;682559;4290046;2,4;2;2,4;17001;110309;6,5;961;54763;3838887;878274;2960613;8333001;1788833;6544168;2,170681502;2,036759599;2,210409804;20981;119459;5,7;964;56032;4355441;1067702;3287739;9301260;2104498;7196762;2,135549534;1,971053721;2,188969988;19290;103501;5,4
96;  Unterfranken;940;41938;3031674;393515;2638159;7325690;682403;6643287;2,4;1,7;2,5;27715;114105;4,1;947;42218;3056234;390308;2665926;7377333;675923;6701410;2,4;1,7;2,5;29312;119711;4,1;893;40351;1631364;153528;1477836;4503962;300387;4203575;2,8;2;2,8;14604;65027;4,5;884;40003;1666872;137903;1528969;4834974;303370;4531604;2,9;2,2;3;14327;67138;4,7;901;42343;2581915;293250;2288665;6635327;562643;6072684;2,569924649;1,918646206;2,65337391;22741;99533;4,4;909;43331;2898316;336426;2561890;7272178;637961;6634217;2,509104597;1,896289229;2,589579178;25553;108103;4,2
97;  Schwaben;2406;94435;5926290;1369734;4556556;17017847;2682235;14335612;2,9;2;3,1;526157;3460078;6,6;2422;95330;6006207;1355698;4650509;17199465;2632477;14566988;2,9;1,9;3,1;526672;3410774;6,5;2321;90575;3439304;416108;3023196;11825350;1005340;10820010;3,4;2,4;3,6;455703;3115554;6,8;2352;92771;3254153;352989;2901164;11417649;846816;10570833;3,5;2,4;3,6;405545;2855547;7;2350;96379;5286583;917972;4368611;16201470;1952532;14248938;3,064639295;2,127006052;3,261663261;552011;3531807;6,4;2385;97271;5850854;1189685;4661169;17100370;2435728;14664642;2,922713505;2,047372204;3,146129651;573202;3528445;6,2
9161;    Ingolstadt (Krfr.St);45;3488;332813;95975;236838;560022;168367;391655;1,7;1,8;1,7;–;–;–;45;3512;333991;98105;235886;558567;166083;392484;1,7;1,7;1,7;–;–;–;42;3010;159340;35106;124234;284031;60971;223060;1,8;1,7;1,8;–;–;–;44;3424;160828;33655;127173;294821;63000;231821;1,8;1,9;1,8;–;–;–;50;3786;321107;85563;235544;538751;144285;394466;1,677792761;1,686301322;1,674701967;–;–;–;52;4439;389590;105393;284197;646797;182265;464532;1,660199184;1,729384304;1,634542237;–;–;–
9162;    München, Landeshauptstadt;443;76425;8265994;3758082;4507912;17124486;8369333;8755153;2,1;2,2;1,9;–;–;–;464;83874;8750922;3915852;4835070;18291939;8786927;9505012;2,1;2,2;2;–;–;–;406;73170;2992527;891615;2100912;7034040;2219295;4814745;2,4;2,5;2,3;–;–;–;417;81925;3097212;860032;2237180;7947780;2392064;5555716;2,6;2,8;2,5;–;–;–;455;92268;6940221;2681708;4258513;16018285;6586600;9431685;2,308036733;2,456121248;2,214783658;–;–;–;462;95549;8531177;3470308;5060869;18634062;8146004;10488058;2,184231086;2,347343233;2,072382826;–;–;–
9163;    Rosenheim (Krfr.St);21;1236;143307;34212;109095;227469;55588;171881;1,6;1,6;1,6;–;–;–;20;1273;154723;37663;117060;243431;57096;186335;1,6;1,5;1,6;–;–;–;18;1207;87477;16773;70704;154670;27118;127552;1,8;1,6;1,8;–;–;–;18;1237;84589;12138;72451;156209;21211;134998;1,8;1,7;1,9;–;–;–;20;1677;159527;30969;128558;278208;51422;226786;1,743955569;1,660434628;1,764075359;–;–;–;21;1751;193752;36015;157737;323625;56347;267278;1,670305339;1,564542552;1,694453426;–;–;–
9171;    Altötting (Lkr);60;2363;131731;19434;112297;288834;50646;238188;2,2;2,6;2,1;–;–;–;60;2355;138341;19251;119090;303117;54120;248997;2,2;2,8;2,1;–;–;–;57;2187;68391;7347;61044;171899;30665;141234;2,5;4,2;2,3;–;–;–;57;2234;72747;7377;65370;184159;30750;153409;2,5;4,2;2,3;–;–;–;59;2371;121157;17469;103688;292550;53742;238808;2,414635556;3,076421089;2,30314019;–;–;–;59;2327;137538;21279;116259;305520;56450;249070;2,221349736;2,652850228;2,142371773;–;–;–
9172;    Berchtesgadener Land (Lkr);491;16688;772136;163951;608185;2962304;371333;2590971;3,8;2,3;4,3;151346;808734;5,3;479;16766;784428;173078;611350;2980500;384701;2595799;3,8;2,2;4,2;149838;813582;5,4;457;15420;494978;47823;447155;2129887;132725;1997162;4,3;2,8;4,5;129055;734271;5,7;449;15936;465144;40148;424996;2055536;100534;1955002;4,4;2,5;4,6;111906;659013;5,9;451;15893;704029;97557;606472;2728181;235766;2492415;3,875097475;2,416699981;4,109695089;128809;749898;5,8;445;15669;780832;149266;631566;2888042;334286;2553756;3,698672698;2,23953211;4,043529892;108607;670762;6,2
9173;    Bad Tölz-Wolfratshausen (Lkr);229;8199;398474;33107;365367;1222255;80972;1141283;3,1;2,4;3,1;31863;190472;6;232;8350;416691;32348;384343;1245965;80093;1165872;3;2,5;3;34759;199865;5,8;212;7162;255726;12698;243028;880100;35719;844381;3,4;2,8;3,5;31712;180901;5,7;219;7650;263043;12333;250710;911750;32632;879118;3,5;2,6;3,5;22982;159047;6,9;223;7817;393305;29934;363371;1213717;74071;1139646;3,085943479;2,474477183;3,136315226;28035;171766;6,1;230;7752;412711;34396;378315;1239032;83859;1155173;3,00217828;2,438045122;3,05346867;26561;163283;6,1
