;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;
;;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl
9172;    Berchtesgadener Land (Lkr);57;5807;243775;995;886;56;5896;267741;989;934;58;6152;282753;986;952;58;5992;267621;896;802;61;5960;272206;942;904;61;5992;286314;889;1016;61;6251;306901;988;803
9173;    Bad Tölz-Wolfratshausen (Lkr);82;7559;357410;1384;1280;80;7804;374341;1408;1238;82;8143;396104;1360;1170;88;8027;399836;1463;1197;88;8087;416548;1300;1006;88;8305;437966;1444;1196;87;8453;462013;1291;1188
9174;    Dachau (Lkr);61;6305;297234;1601;1406;60;6152;292139;1548;1391;61;5509;233586;1582;1385;67;5675;230075;1701;1311;74;5792;243061;1714;1340;76;5930;266160;1706;1320;74;6017;281634;1630;1402
9175;    Ebersberg (Lkr);56;5604;267090;1548;1293;57;5709;270773;1460;1293;58;5800;277108;1574;1311;61;5615;268590;1431;1133;63;5675;273958;1562;1152;64;5845;286884;1396;1291;66;7650;431254;1510;1282
9176;    Eichstätt (Lkr);91;10701;391589;857;758;96;11261;420170;1004;842;95;11141;436751;942;739;99;10815;419697;932;715;109;11565;439127;1146;808;110;11788;459902;1112;794;113;11439;465650;1100;904
9177;    Erding (Lkr);44;3876;155732;1318;1256;45;3796;153857;1321;1234;48;3898;161240;1300;1233;51;3963;158830;1401;1136;58;4237;169322;1472;1184;59;4383;186881;1411;1256;59;4380;191032;1473;1176
9178;    Freising (Lkr);82;9237;538435;1748;1641;86;9474;549044;1672;1486;86;9500;562947;1773;1488;85;8842;513257;1894;1368;87;8754;529539;1883;1451;88;9000;537970;1768;1502;86;9128;570961;1638;1438
9179;    Fürstenfeldbruck (Lkr);75;5934;277506;2198;2098;79;6232;295008;2134;2216;79;5627;279160;2107;2012;82;5673;279219;2172;1859;79;5873;283793;2193;1811;81;5960;301916;2139;1790;83;6198;330125;2109;1906
9180;    Garmisch-Partenkirchen (Lkr);19;1649;.;934;861;20;1812;.;848;823;21;.;.;863;871;23;.;.;891;820;26;.;.;831;752;26;.;.;855;791;25;.;.;850;799
9181;    Landsberg am Lech (Lkr);63;8439;401898;1278;1141;67;9416;453450;1252;1155;66;9575;466265;1246;1130;69;9252;435287;1217;1055;72;9254;459985;1259;1024;73;9495;493763;1211;1034;72;9712;531851;1168;1032
9182;    Miesbach (Lkr);60;5761;245689;1249;1192;61;6015;257716;1250;1165;62;6338;285277;1286;1148;62;5976;265629;1272;1002;60;5875;267495;1318;965;62;6115;281975;1130;948;59;6267;300148;1172;996
9183;    Mühldorf a.Inn (Lkr);88;10824;472808;1103;1053;95;11761;513428;1062;983;94;11941;530766;1074;928;99;11629;515186;1142;953;105;12343;551683;1189;886;106;12588;586248;1004;820;106;12841;616841;1121;1010
9184;    München (Lkr);208;30424;2154335;5290;4344;208;31506;2233243;5690;4744;201;32160;2330707;5428;4526;218;32029;2376544;5575;4460;219;31914;2421656;5627;4357;212;31917;2512864;4995;4164;213;33459;2645138;4745;4317
9185;    Neuburg-Schrobenhausen (Lkr);75;7777;297668;848;742;74;7927;311650;795;693;75;8010;328126;725;579;80;8037;329087;832;636;86;8205;346248;1009;704;86;8423;362385;1046;696;86;8331;382249;1055;822
9186;    Pfaffenhofen a.d.Ilm (Lkr);66;10463;672749;1230;1134;71;11218;720000;1176;1104;71;11308;714859;1204;1045;73;11123;725763;1246;979;75;11277;710978;1222;934;74;12678;790439;1152;1051;73;13596;859299;1169;1034
9187;    Rosenheim (Lkr);146;17780;763234;2924;2598;154;18662;821601;2855;2435;157;18885;857324;2797;2368;169;19050;865038;2832;2205;179;19371;895316;2919;2170;179;19611;937914;2528;2177;185;19823;979987;2751;2510
9188;    Starnberg (Lkr);59;9327;587349;1658;1514;62;9878;620160;1634;1459;58;10143;662668;1597;1562;60;10237;660511;1612;1282;64;10290;702760;1654;1257;68;11190;755364;1533;1209;69;11265;820606;1571;1340
9189;    Traunstein (Lkr);102;21981;1094991;1646;1463;100;22546;1145568;1649;1526;101;22968;1160627;1687;1444;104;22682;1122392;1662;1337;109;23488;1204085;1786;1315;117;24307;1283884;1547;1211;116;24672;1333589;1755;1401
9190;    Weilheim-Schongau (Lkr);89;17355;884216;1297;1257;97;18141;954497;1268;1268;99;18323;1007647;1364;1169;101;17820;964542;1288;1125;102;18408;1026155;1417;1069;105;19299;1119577;1314;1189;106;19609;1197996;1263;1254
9261;    Landshut (Krfr.St);26;5788;330816;585;540;26;5931;349811;579;503;25;5489;328484;619;555;23;5387;274274;602;421;25;5546;269152;618;481;27;5364;283959;686;616;28;5234;289253;663;546
9262;    Passau (Krfr.St);26;6367;286049;604;581;26;6071;297110;581;671;26;5760;304581;617;638;26;5558;268568;586;563;25;5614;294146;720;580;23;5748;318072;634;519;25;6096;349232;590;523
9263;    Straubing (Krfr.St);38;5367;227753;409;387;37;5566;242998;451;431;39;5640;251844;414;378;40;5141;240622;413;312;41;4386;189409;433;390;40;4418;198177;435;365;41;4881;229100;492;460
9271;    Deggendorf (Lkr);89;12282;500759;1103;1044;89;12576;526518;978;969;89;12499;526857;1040;894;97;12329;522268;1058;880;98;12063;529659;989;839;104;12157;549026;795;679;100;11445;561314;1189;1082
9272;    Freyung-Grafenau (Lkr);60;6544;211329;556;569;65;7324;245281;620;604;68;7740;274769;597;542;71;7849;279763;606;513;73;7998;293656;620;471;73;8307;325790;564;463;74;8528;344435;650;595
9273;    Kelheim (Lkr);76;11878;515661;1015;897;77;11956;536443;1111;1008;76;11848;545186;1036;873;81;11584;528036;1081;824;84;11731;552805;1167;850;86;12207;601219;1168;857;82;12486;624643;1137;899
9274;    Landshut (Lkr);98;11949;571486;1330;1150;109;13106;625525;1479;1237;112;13560;670404;1552;1269;117;13754;663488;1615;1159;116;13825;693115;1774;1274;123;14714;772431;1569;1250;119;14828;820218;1484;1364
9275;    Passau (Lkr);169;18313;673208;1843;1685;172;19002;721821;1588;1472;173;19111;740873;1582;1499;176;18243;676419;1782;1389;181;18732;724485;1782;1329;185;18840;765495;1439;1213;180;18072;758960;1798;1534
9276;    Regen (Lkr);44;7927;293296;548;537;47;8700;330094;545;530;47;9078;.;624;524;50;8673;332692;626;536;56;8879;348443;678;508;57;9131;372574;542;502;56;9011;379994;574;616
9277;    Rottal-Inn (Lkr);83;8518;283798;1091;913;91;8997;304399;1131;989;93;9224;323300;1139;1029;95;8912;323610;1134;968;100;9191;333994;1162;904;103;9170;352536;1086;876;104;9223;370684;1122;976
9278;    Straubing-Bogen (Lkr);66;8202;290926;703;869;66;8471;310753;718;735;72;8576;328746;830;717;80;8528;317020;795;616;82;9108;340798;995;649;85;9533;365952;836;610;84;9601;390320;855;784
9279;    Dingolfing-Landau (Lkr);50;28966;1754725;736;657;51;28735;1822276;790;671;50;28201;.;782;694;52;28066;1716701;854;621;55;27276;1689873;890;611;56;28727;1894084;792;633;57;28994;2075141;905;771
9361;    Amberg (Krfr.St);36;8925;426928;348;363;36;9147;454840;322;349;36;9746;491227;340;278;39;9739;478372;323;285;41;9707;481033;329;278;39;9896;491649;361;289;40;10128;539018;356;323
