Volkszählung am 25. Mai 1987, Zensus am 9. Mai 2011 und 15. Mai 2022;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;
;;25.05.1987;;;;;;09.05.2011;;;;;;15.05.2022;;;;;
;;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte
;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;
;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;
;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9190;Weilheim-Schongau (Lkr);106374;82780;14842;4415;41783;11528;128761;78.683;16.901;7.618;56356;18677;136598;69014;14754;13768;62098;23691
9261;Landshut (Krfr.St);56446;44414;8010;3303;26104;10042;63544;37.355;7.787;6.824;32082;14465;67880;30779;6243;14127;34856;17937
9262;Passau (Krfr.St);48516;40717;5400;2056;23932;10448;48649;33.326;5.383;3.610;27842;13998;51907;27585;4518;10004;30053;16747
9263;Straubing (Krfr.St);40093;33559;5050;846;17921;6510;44488;28.421;6.109;3.544;21831;9336;46167;23396;4876;8761;23498;11723
9271;Deggendorf (Lkr);101436;90643;7534;2024;37646;9317;114454;87.322;10.480;4.772;49570;15590;119231;77193;8984;12839;56095;22397
9272;Freyung-Grafenau (Lkr);75564;71671;2638;567;26827;5710;78172;68.600;3.184;1.509;32733;9270;77917;61157;2756;4687;35021;12345
9273;Kelheim (Lkr);90040;78200;7528;2879;31890;6832;112752;80.019;10.728;6.374;46422;12977;123837;73281;9468;16244;52992;17595
9274;Landshut (Lkr);115644;102326;9237;2380;39656;7707;147161;109.007;12.447;6.098;58984;14944;159168;98316;10893;16976;68344;22042
9275;Passau (Lkr);162355;149118;9889;2398;57046;12618;184190;149.726;13.773;5.975;77502;22303;191740;133303;11320;17610;86475;31495
9276;Regen (Lkr);76688;71501;3582;597;28655;6552;76782;65.714;4.115;1.648;33484;10261;77243;57998;3589;5582;35354;13139
9277;Rottal-Inn (Lkr);104013;94876;6326;1921;36362;8200;116634;92.205;8.336;5.286;47164;12987;118818;80399;6825;12479;52311;18706
