;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;;;;;;;;;;;;
;;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020
;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land
;;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm
9174;    Dachau (Lkr);191;143;327;112;146325;109113;447,19;977,41;130;113;115;76;67350;60523;586,01;794,51;150;135;113;89;77083;72730;680,02;817,48;158;145;138;115;123483;115806;895,84;1010,71
9175;    Ebersberg (Lkr);151;126;159;100;95004;82283;596,09;826,12;165;124;291;144;131391;95085;452,23;660,59;164;134;145;87;96634;87014;665,41;998,1;147;107;212;121;144762;135674;683,53;1124,15
9176;    Eichstätt (Lkr);404;348;493;266;85379;63675;173,02;239,75;343;294;386;228;71216;56261;184,37;246,92;320;290;465;198;84563;55363;182,01;280,01;377;350;322;262;87711;80691;272,38;308,27
9177;    Erding (Lkr);232;203;488;355;149476;135813;306,44;382,88;246;188;554;278;100469;73318;181,37;263,59;216;170;497;288;90674;69462;182,38;241,58;239;201;550;403;94298;88121;171,61;218,93
9178;    Freising (Lkr);251;178;349;153;112085;82008;321,25;535,23;230;173;356;184;111425;87764;313,02;476,13;211;173;394;162;110789;86413;280,91;531,84;254;204;257;152;106397;90076;413,96;590,68
9179;    Fürstenfeldbruck (Lkr);212;197;208;181;142485;134227;685,47;743,63;219;179;2117;145;161978;142537;76,52;980,34;186;170;256;154;167902;141409;655,01;919,71;159;154;106;93;107503;103548;1012,87;1110,5
9180;    Garmisch-Partenkirchen (Lkr);143;119;147;106;53448;47771;362,52;451,21;98;90;115;104;50109;49122;436,34;474,06;94;82;92;81;47048;45225;512,05;558,81;107;102;132;125;67606;66003;512,12;527,48
9181;    Landsberg am Lech (Lkr);302;253;325;209;73626;66231;226,27;317,36;248;212;262;185;56452;50713;215,13;274,06;192;146;248;122;65719;59133;264,66;483,02;197;172;277;158;83296;76497;300,67;483,97
9182;    Miesbach (Lkr);135;103;227;144;139015;124895;613,37;864,81;109;89;140;103;93082;91036;663,08;883,56;105;86;141;110;87553;81379;621,24;738,66;141;107;213;157;110380;101874;518,97;649,92
9183;    Mühldorf a.Inn (Lkr);224;193;233;155;25494;22975;109,49;148,13;209;144;273;131;29138;20842;106,87;159,1;229;169;321;147;34269;26429;106,6;179,91;193;162;424;136;46463;31823;109,54;234,65
