;;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Einkommensgrößenklassen;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;0 bis  unter 5000 EUR;;;5000 bis unter 10000 EUR;;;10000 bis unter 15000 EUR;;;15000 bis unter 20000 EUR;;;20000 bis unter 25000 EUR;;;25000 bis unter 30000 EUR;;;30000 bis unter 35000 EUR;;;35000 bis unter 50000 EUR;;;50000 EUR und mehr;;
;;;;;;;;;;;;;;;;;;;;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer
;;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR
97;  Schwaben;952146;37328994;6488737;965467;39080340;6764922;981138;41236149;7283334;995004;43347080;7626071;1006456;45281681;7973770;1004744;45578426;8018623;115072;169916;6276;52678;403115;8250;72068;907965;22277;73935;1289717;65430;70998;1598841;110536;75639;2080824;179362;75560;2454898;255815;181596;7603700;980018;287198;29069452;6390660
9161;    Ingolstadt (Krfr.St);71729;3315711;678753;72913;3448114;697574;73550;3520027;714534;74128;3725422;759993;74770;3841547;772571;74004;3777256;757956;8501;14772;273;4097;30929;675;4859;61296;1672;4585;79886;4242;4517;101888;7528;5104;140386;12222;4774;154856;17277;11626;489311;66010;25941;2703930;648057
9162;    München, Landeshauptstadt;843299;43140973;9972972;856957;45844191;10597836;871672;48004378;11252289;881741;51063901;12126267;894330;53384872;12661699;884538;52989519;12597904;90228;154948;21481;52225;393160;14691;57182;715154;31259;58161;1015695;62758;52649;1182899;97617;50392;1385055;132738;49850;1620309;186199;139198;5879263;849219;334653;40643037;11201941
9163;    Rosenheim (Krfr.St);32945;1279897;231062;33575;1334498;240949;34016;1394230;253758;34399;1437401;255870;34798;1508590;270293;34386;1504595;272018;3854;6522;424;2099;15983;303;2645;33233;888;2578;45107;2333;2607;58791;4076;2594;71275;6412;2752;89402;9533;6105;255305;33391;9152;928977;214657
9171;    Altötting (Lkr);56397;2171574;369894;57214;2269784;386504;58024;2379753;407172;58637;2507452;430064;59206;2620399;451961;58601;2600193;445007;7502;10265;219;2834;21784;465;4132;52122;1247;4172;72893;3534;4097;92413;6278;4260;117062;9765;4071;132253;13514;10218;428256;54554;17315;1673145;355430
9172;    Berchtesgadener Land (Lkr);50893;1847906;297371;51710;1932017;308551;52556;2044295;337423;53181;2145977;352733;53835;2252520;375770;53641;2275430;383411;4812;8174;304;3114;24015;625;4404;55423;1664;4552;79528;4545;4473;100621;7292;4754;131064;12127;4827;156501;16886;10172;422532;54184;12533;1297571;285784
9173;    Bad Tölz-Wolfratshausen (Lkr);65460;2996296;603766;66109;3139822;636935;66901;3242498;667010;67716;3417537;698481;68421;3533007;726023;68643;3599567;731373;6726;10748;910;3589;27550;841;4631;58401;1501;5052;88163;4471;4929;110925;8282;4968;136715;11883;4910;159462;16824;11442;479416;62306;22396;2528188;624355
9174;    Dachau (Lkr);79022;3688112;708423;80820;3887472;750767;82371;4061956;788722;83488;4303481;837282;84528;4503190;879684;83981;4474515;868879;7846;12761;604;3965;30335;706;5262;66332;1659;5566;97239;5382;5540;124920;8695;5620;154655;13603;5408;175640;18028;14107;593796;79917;30667;3218837;740285
9175;    Ebersberg (Lkr);72666;3727207;772888;74098;3926341;813139;75542;4159091;874623;76735;4367965;920262;77320;4551645;958301;77158;4558053;957170;7141;11731;398;3829;29071;716;4699;59290;1866;4731;82650;4372;4888;110093;7790;4935;135693;12004;4959;160947;16841;12252;514840;68332;29724;3453740;844851
9176;    Eichstätt (Lkr);66414;3167495;606943;67069;3269543;619190;67410;3335375;627326;68262;3522763;668241;68763;3629162;681733;68484;3606887;675464;6958;11894;228;3096;23548;393;4353;54880;1190;4188;73069;3628;4048;91275;6107;4460;122530;10022;4464;145213;14739;10830;456370;58856;26087;2628108;580302
9177;    Erding (Lkr);70822;3192992;590613;72247;3344721;619835;73540;3528994;662017;74563;3709139;695976;75369;3884838;733094;75597;3876186;733349;6730;11414;273;3696;28300;582;5269;66077;1780;5210;91010;4896;5122;115276;8325;5463;150300;13292;5670;184112;19632;13103;548952;73238;25334;2680745;611330
9178;    Freising (Lkr);94278;4138696;777631;96502;4352564;821980;98396;4566065;867863;99973;4836576;920643;101375;5034989;960201;100738;4983902;952757;10531;18171;884;5629;42810;1007;7225;90496;2791;7029;122731;6801;6999;157623;11887;7001;192531;17444;6843;222231;24189;16366;686941;93149;33115;3450368;794605
9179;    Fürstenfeldbruck (Lkr);112040;5258727;1014230;113708;5540932;1079758;114847;5742496;1123838;116310;6020146;1179885;117726;6329083;1258222;117825;6309890;1234172;11068;17713;501;5830;44352;912;7014;88061;2318;7947;139136;7013;7693;173284;12197;8245;226890;19600;7846;254685;26204;19729;829239;109562;42453;4536530;1055865
9180;    Garmisch-Partenkirchen (Lkr);45400;1789740;318144;45966;1841717;324235;46420;1922201;338695;46899;2014005;355472;47405;2158281;393293;47232;2159941;389549;4139;7334;260;2788;21340;810;3973;49929;1415;4231;73808;4017;3923;88255;6591;3868;106348;9489;3704;120327;12854;8277;345444;44591;12329;1347157;309522
9181;    Landsberg am Lech (Lkr);60278;2798452;558416;61275;2913748;577238;62182;3071336;627488;63097;3229620;640952;63723;3421724;688418;63713;3404464;672871;6206;9970;194;3263;24935;553;4181;52614;1236;4188;73056;3689;4142;93367;6544;4373;120326;10502;4396;142823;15023;10970;459301;60083;21994;2428072;575048
9182;    Miesbach (Lkr);51958;2546794;552862;52634;2699927;593501;53294;2856274;646368;53889;2996510;663603;54608;3156260;705643;54401;3252934;720466;5125;8513;654;2990;22992;850;3890;48778;3513;4057;71047;5367;3911;87649;6508;3943;108279;9565;3785;122924;12942;8798;369123;48001;17902;2413628;633067
