;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe;;Schweine;;Zuchtsauen;;Andere Schweine;;Schafe;;Einhufer;;Hühner;;Legehennen;;Masthühner und -hähne;
;;Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
93;  Oberpfalz;8692;462408;6738;161232;2853;297473;2265;85755;1012;36416;4418;2048934;4371;985958;134;805236;804;38107;1572;8941;5948;433771;4606;165331;1306;270941;473;27815;1203;136512;452;25367;1036;7804;2894;3128648;2812;1162117;128;1485431;5074;403531;3695;155336;909;240480;316;22532;840;116084;429;25285;976;7418;2756;3253223;2702;1068110;118;1742405
94;  Oberfranken;5178;246269;3849;93616;3056;262160;2569;86229;764;27103;3435;280040;3396;218841;107;3046;754;34238;1139;7884;3291;228851;2298;89625;1250;228381;334;19606;1173;132617;472;22272;740;6623;2108;302351;2061;192713;99;.;2746;212340;1765;83042;841;194460;217;15233;793;112889;462;20660;676;6009;1934;491179;1913;314795;87;125483
95;  Mittelfranken;6266;345283;4660;113009;4419;548260;3776;173960;1380;55052;4415;434964;4392;275317;95;74721;1086;76715;1219;8859;3924;304079;2730;108358;1903;469499;536;37722;1780;278757;629;53915;831;7555;2775;763786;2728;482788;101;135010;3183;280526;2055;98765;1330;411545;335;27963;1248;243959;578;53905;722;6380;2458;827806;2425;527377;89;247744
96;  Unterfranken;3124;135653;1642;36959;2751;403060;2233;132428;1000;45492;2512;370377;2492;217569;67;96551;814;76989;1306;7575;1989;119621;833;31806;1132;335424;338;27318;1054;195392;533;57812;870;6425;1590;464133;1551;258151;82;.;1685;110065;613;27704;781;276761;232;20258;723;162286;530;56177;817;6430;1403;458130;1384;323534;68;129787
97;  Schwaben;12665;719166;10369;296619;2505;546083;1879;185874;1010;53885;4033;647783;4000;352820;92;214236;1051;60852;2419;14470;9106;679690;7198;291729;1361;530603;399;39558;1241;325051;816;45565;1703;12752;3101;933629;3053;473253;93;424446;8020;642540;6021;271223;1059;512836;297;32564;982;302349;839;48822;1600;12021;3154;1056006;3107;557754;95;472886
9161;    Ingolstadt (Krfr.St);47;2394;34;707;18;1179;15;583;4;.;46;4646;44;.;3;240;11;396;22;261;28;1848;17;.;6;245;–;–;6;.;6;.;20;358;38;6453;37;6126;2;.;22;1547;9;.;6;289;–;–;6;289;7;.;13;267;36;.;36;11186;2;.
9162;    München, Landeshauptstadt;19;1279;6;132;4;131;3;58;1;.;15;336;15;.;1;.;11;1205;20;305;14;1400;3;.;3;.;1;.;3;56;7;1121;16;278;15;538;15;538;–;–;12;1245;2;.;1;.;–;–;1;.;8;1803;14;266;18;.;18;5290;1;.
9163;    Rosenheim (Krfr.St);58;3872;57;1681;–;–;–;–;–;–;12;288;12;263;2;.;6;125;16;134;43;3445;38;.;1;.;–;–;–;–;2;.;10;158;9;2399;9;.;–;–;41;3204;35;1440;1;.;–;–;–;–;2;.;11;138;14;.;14;.;–;–
9171;    Altötting (Lkr);762;50064;602;16396;100;29796;81;11052;46;2477;236;208942;233;63427;6;.;71;3094;158;931;556;45468;426;16059;70;29557;27;1621;67;20224;36;1275;91;790;196;332208;186;.;11;253860;464;41515;336;14423;45;23597;18;1297;42;17095;32;1340;88;746;198;.;192;106482;9;246163
9172;    Berchtesgadener Land (Lkr);1082;33903;784;13112;55;5968;43;358;10;553;262;5962;260;5807;2;.;131;2987;265;1121;790;34221;599;14354;43;2434;8;240;38;1184;88;2076;157;809;249;5565;244;5187;5;335;739;31991;510;13586;39;1520;9;135;36;.;94;2128;153;791;280;.;280;.;6;33
