;;Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot)
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
94;  Oberfranken;308818,83;94140,85;86710,35;3070,79;213317,56;128152,39;30699,11;6057,44;30217,17;40535,27;2422,61;2584,06;1274,14;534,24;21584,15;20923,12;43455,26;22956,02;299291,65;89770,54;81615,34;5854,92;208168,52;122185,88;35393,18;6064,71;28266,28;31300,82;2696,54;1787,84;916,18;435,14;22048,6;21578,2;51037,77;28437,45;298469;92518;83020;7026;204888;115790;37736;5509;25011;28827;3717;1510;657;475;18652;18163;58431;33296;293977;92136;82384;7552;200762;106556;34344;5989;22563;25911;3330;1582;639;397;13952;12164;66884;35789
95;  Mittelfranken;337347,74;98855,97;87678,45;3795,43;237466,29;137298,6;46544,45;7575,58;56397,06;7096,01;1839,95;7844,89;2727,18;1852,48;20199,27;18700,06;57354,44;43938,14;328471,47;94655,34;83420,55;6186,25;232662,97;131230,19;50122,34;7118,05;49402,49;3989,39;2183,95;6632,75;2143,8;1795,46;17054,86;15652,1;67491,67;54063,87;327492;95730;84207;6745;230556;119926;48781;6062;40464;3478;3037;6018;1416;2138;10526;8904;85152;65977;324849;95737;83367;7265;227842;111358;45788;6088;37387;3098;3197;6444;1391;2231;10719;8471;88674;65416
96;  Unterfranken;355041,27;62549,22;40417,58;8811,8;284977,75;171712,39;84994,63;8979,96;39425,05;24382,24;1533,16;20848,41;918,14;2398,28;39627,66;36093,86;28122,78;18559,5;346640,7;61098,48;38804,19;15828,38;278206,55;170862,71;97527,12;7842,68;35267,44;14948,32;2453,23;17891,72;792,64;2355,93;38513,89;36626,43;33158,33;22408,21;350072;67750;41853;19138;274947;164377;99467;8072;27355;13421;5319;17931;901;2981;31458;29939;41120;28603;346160;67479;40802;19872;271293;155528;86159;6699;25140;21115;8502;18038;965;3256;24456;19732;46752;27783
97;  Schwaben;512134,75;267097,06;145854,39;101145,66;243319,16;133669,17;69796,15;1722,22;34375,67;8800,79;1255,62;14187,1;6551,14;2438,82;18680,59;17610,07;68508,72;56568,96;502510,8;253926,24;125502,47;124182,36;246905,08;132906,17;72803,36;1787,21;31222,2;5916,02;1415,02;13181,74;6039,93;2938,2;13394,19;12095,16;81080,88;68479,88;504078;246102;113906;127900;256289;130130;72718;1483;30930;4187;2394;13186;5434;3170;7582;6466;97959;81163;509569;254195;115226;134794;253667;125369;68663;1489;30276;5601;3608;14750;5721;3558;7954;6392;96441;79368
9161;    Ingolstadt (Krfr.St);6831,72;841,17;744,44;45,22;5972,42;3580,79;2023,27;69,21;973,14;253,33;49,23;826,61;529,27;101,59;769,16;764,44;355,99;257,53;6854,97;795,24;686,47;92,88;6040,24;3742,28;2298,26;79,62;817,26;246,66;87,03;840,47;516,73;98,16;782,24;754,97;353,09;221,57;6840;803;683;106;6025;3775;2284;73;801;189;176;918;536;107;461;.;402;307;7188;.;678;106;6380;3920;2052;.;846;216;.;1080;639;102;410;.;417;270
9162;    München, Landeshauptstadt;6163,72;896,96;603,92;.;5184,11;3029,05;900,08;113,16;291,57;773,02;93,43;221,68;192,68;240,32;473,75;426,72;565,53;197,42;6067,03;961,96;653,07;128,17;5037,36;3221,35;930,6;126,79;196,14;867,94;145,47;197,09;.;251,95;285,48;238,51;700,78;265,7;6092;1293;896;209;4728;2933;968;161;241;767;194;167;.;248;186;142;871;529;6238;.;890;225;4732;2818;846;128;227;656;235;159;159;205;230;106;911;475
9163;    Rosenheim (Krfr.St);1678,33;1019,07;946,89;.;654,32;152,04;71,47;.;.;.;–;.;.;.;6,76;.;487,05;335,27;1565,8;900,98;797,29;91,99;660,76;144,21;61,36;.;49,16;.;–;–;–;1,62;.;.;510,09;380,91;1500;.;706;92;692;128;48;.;.;.;.;–;–;.;.;.;554;393;1524;.;689;121;693;120;45;–;43;10;.;.;.;.;.;.;559;417
9171;    Altötting (Lkr);30989,31;8597,73;7914,44;418,99;22376,89;11628,32;4999,15;298,74;1936,89;313,36;95,43;115,18;76,34;115,65;1524,91;1394,25;8304,26;6250,75;30250,57;7969,17;7143,63;679,17;22261,44;12036,99;5171,12;403,81;1908,53;185,03;171,33;71,71;29,91;161,42;1075,68;877,07;8290,98;6539,43;30212;7761;6875;810;22430;11683;5335;358;1948;140;496;.;26;505;590;562;8857;7085;30089;.;6780;889;22309;10997;4617;454;2122;123;897;43;24;474;543;446;9104;7184
9172;    Berchtesgadener Land (Lkr);19110,35;15635,99;6267,39;6631,24;3469,99;917,19;396;.;240,02;8,55;.;.;5,15;13,19;17,1;.;2482,44;1678,06;17781,17;14254,23;5293,77;8378,81;3523,31;1093,12;535,69;3,34;275,3;23,23;.;9,54;.;9,23;.;.;2382,49;1615,49;17365;13850;5385;7917;3514;855;432;13;234;12;10;.;.;5;15;–;2617;1769;17300;13774;5472;7778;.;871;394;10;223;31;44;4;4;3;23;–;2570;1806
9173;    Bad Tölz-Wolfratshausen (Lkr);31856,78;29707,79;8706,98;14666,19;2130,26;818,85;215,85;18,26;99,15;221,66;.;.;16,48;29,68;102,34;102,34;1128,03;659,31;30968,61;28736,47;7499,1;19622,97;2224;827,44;256,34;21,58;126,07;177,08;16,06;15,14;15,14;27,67;84,78;81,96;1244,53;815,72;30578;27746;7075;19041;2826;800;243;42;143;157;39;11;11;23;80;.;1863;1015;30988;27991;7960;18289;2990;885;264;28;174;163;26;11;11;23;84;71;1945;1046
