Gemeinderatswahlen;;;;;;;;;Insgesamt;;;Christlich-Soziale Union in Bayern e.V. (CSU);;;BÜNDNIS 90/DIE GRÜNEN (GRÜNE);;;FREIE WÄHLER Bayern;;;Alternative für Deutschland (AfD);;;Sozialdemokratische Partei Deutschlands (SPD);;;Freie Demokratische Partei (FDP);;;Gemeinsame Wahlvorschläge;;;Wählergruppen;;;sonstige Wahlvorschläge;;
;;Stichtag;;;;;;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;
;;15.03.2020;15.03.2020;15.03.2020;15.03.2020;;;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;
;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Gültige Stimmzettel;Ungültige Stimmzettel;;;;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich
;;Anzahl;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9175;    Ebersberg (Lkr);110136;69778;68653;1125;;9175;    Ebersberg (Lkr);68653;296;120;23632;94;28;13555;30;31;3557;12;1;269;–;1;8348;18;18;2507;9;2;1754;13;5;14362;80;33;669;2;1
9176;    Eichstätt (Lkr);103500;69140;67946;1194;;9176;    Eichstätt (Lkr);67946;412;118;23009;125;36;3184;10;7;1263;5;4;–;–;–;11366;48;20;117;–;–;12921;79;22;15397;93;28;689;2;1
9177;    Erding (Lkr);108445;69746;68327;1419;;9177;    Erding (Lkr);68327;388;95;16614;74;18;5418;14;15;975;3;1;2321;10;–;5543;19;11;455;2;–;6919;37;10;29150;178;39;932;2;1
9178;    Freising (Lkr);135478;79383;77780;1603;;9178;    Freising (Lkr);77780;380;116;15843;69;22;11554;19;21;2331;13;4;1498;3;–;5747;17;11;1410;6;1;9101;36;8;27239;153;48;3057;8;1
9179;    Fürstenfeldbruck (Lkr);168728;98306;96374;1932;;9179;    Fürstenfeldbruck (Lkr);96374;350;143;31119;91;29;18622;35;40;4459;9;5;–;–;–;11248;23;17;2420;6;1;6611;35;10;20381;99;39;1514;3;2
9180;    Garmisch-Partenkirchen (Lkr);70757;43922;42934;988;;9180;    Garmisch-Partenkirchen (Lkr);42934;298;61;12545;69;12;2867;5;4;447;3;1;500;1;–;2656;8;5;480;2;–;4889;22;7;17733;144;32;817;5;–
9181;    Landsberg am Lech (Lkr);93185;61572;60210;1362;;9181;    Landsberg am Lech (Lkr);60210;424;99;9173;38;17;7074;17;14;381;3;1;–;–;–;3239;8;4;312;1;–;3988;29;8;34387;259;53;1656;8;2
9182;    Miesbach (Lkr);79815;49455;48423;1032;;9182;    Miesbach (Lkr);48423;266;70;17236;94;18;8123;27;19;–;–;–;–;–;–;5125;23;9;538;2;–;2451;9;3;14862;86;21;88;1;–
9183;    Mühldorf a.Inn (Lkr);92665;53923;52862;1061;;9183;    Mühldorf a.Inn (Lkr);52862;409;100;13292;70;14;4220;16;12;–;–;–;1433;3;2;4039;13;8;397;1;1;5764;51;11;23598;192;52;119;–;–
9184;    München (Lkr);266352;159068;156555;2513;;9184;    München (Lkr);156555;462;248;51778;148;67;30924;59;72;1913;6;–;621;1;1;27327;58;48;7576;23;10;7538;18;12;27792;96;38;1086;3;–
9185;    Neuburg-Schrobenhausen (Lkr);76709;46943;46031;912;;9185;    Neuburg-Schrobenhausen (Lkr);46031;258;54;13776;72;14;3520;6;6;–;–;–;661;1;1;3855;13;6;569;–;1;6684;31;4;16537;107;22;429;2;–
9186;    Pfaffenhofen a.d.Ilm (Lkr);100417;62997;61755;1242;;9186;    Pfaffenhofen a.d.Ilm (Lkr);61755;307;76;18714;84;19;3583;7;9;2609;9;4;437;2;–;7927;24;13;892;3;–;5850;26;7;20772;119;24;971;2;–
9187;    Rosenheim (Lkr);208011;128327;126077;2250;;9187;    Rosenheim (Lkr);126077;705;183;32056;151;37;15325;33;41;1506;6;3;1457;5;–;8423;28;12;344;1;–;11780;68;10;53248;318;78;1938;7;2
9188;    Starnberg (Lkr);105895;66157;64779;1378;;9188;    Starnberg (Lkr);64779;224;93;17638;59;19;14354;31;33;–;–;–;22;–;–;5986;16;9;4112;12;6;8316;32;7;13904;48;18;447;1;1
9189;    Traunstein (Lkr);143352;87305;85661;1644;;9189;    Traunstein (Lkr);85661;519;133;26304;135;34;9934;27;29;1216;5;–;404;2;–;6866;30;7;–;–;–;8198;63;19;31018;187;43;1721;8;1
9190;    Weilheim-Schongau (Lkr);107329;70352;68943;1409;;9190;    Weilheim-Schongau (Lkr);68943;457;121;13295;58;21;5430;11;9;–;–;–;790;1;1;7420;24;13;782;3;1;8028;54;16;31950;228;58;1248;4;2
9261;    Landshut (Krfr.St);55579;26686;25744;942;;9261;    Landshut (Krfr.St);25744;31;13;5664;7;3;6531;6;5;2772;4;1;1490;3;–;2065;1;2;1672;2;1;679;1;–;3347;5;–;1524;2;1
9262;    Passau (Krfr.St);42395;20958;20181;777;;9262;    Passau (Krfr.St);20181;36;10;4413;7;2;3382;5;2;–;–;–;749;2;–;4676;7;3;856;1;1;2641;5;1;2930;6;1;534;1;–
9263;    Straubing (Krfr.St);37431;16487;16044;443;;9263;    Straubing (Krfr.St);16044;31;10;7468;14;4;1984;3;2;1851;4;1;1027;1;1;1940;4;1;285;1;–;1089;2;1;–;–;–;400;1;–
9271;    Deggendorf (Lkr);96291;56352;54961;1391;;9271;    Deggendorf (Lkr);54961;366;70;21252;129;26;2405;6;4;2891;13;4;1371;2;3;7012;43;5;329;1;–;4043;24;6;14882;115;22;776;5;–
9272;    Freyung-Grafenau (Lkr);65652;45151;44266;885;;9272;    Freyung-Grafenau (Lkr);44266;327;56;17368;118;20;497;2;1;–;–;–;–;–;–;2958;15;4;291;1;–;2573;21;7;18945;135;22;1634;6;2
9273;    Kelheim (Lkr);94981;58557;57115;1442;;9273;    Kelheim (Lkr);57115;351;72;16027;79;22;2864;6;5;–;–;–;–;–;–;7150;34;6;680;3;–;6278;36;7;22542;147;30;1574;9;2
9274;    Landshut (Lkr);125961;79761;78369;1392;;9274;    Landshut (Lkr);78369;517;125;21292;114;24;1666;7;5;5604;25;7;–;–;–;5441;24;8;1548;13;3;14031;87;31;27053;165;45;1734;6;2
9275;    Passau (Lkr);159121;97254;95125;2129;;9275;    Passau (Lkr);95125;578;123;32759;185;42;1383;6;5;618;3;1;407;1;–;10475;47;10;424;2;–;8858;45;16;40201;224;49;–;–;–
9276;    Regen (Lkr);64103;40522;39529;993;;9276;    Regen (Lkr);39529;321;52;14798;115;17;1633;7;3;2262;20;2;–;–;–;3989;25;4;–;–;–;6644;51;9;9974;77;16;229;1;1
9277;    Rottal-Inn (Lkr);98401;58335;57038;1297;;9277;    Rottal-Inn (Lkr);57038;438;91;16231;100;23;1563;5;3;2005;18;5;179;1;–;5120;28;8;–;–;–;4603;48;9;26481;182;42;856;5;1
9278;    Straubing-Bogen (Lkr);81708;54655;53502;1153;;9278;    Straubing-Bogen (Lkr);53502;471;90;19719;155;34;279;1;1;4686;31;6;–;–;–;2238;13;3;–;–;–;11518;99;21;14561;125;24;501;2;1
9279;    Dingolfing-Landau (Lkr);77389;45681;44524;1157;;9279;    Dingolfing-Landau (Lkr);44524;254;52;11421;61;11;139;–;1;972;6;1;721;4;–;3775;13;4;295;2;–;5145;27;12;21440;105;22;616;2;1
9361;    Amberg (Krfr.St);33956;15538;15139;399;;9361;    Amberg (Krfr.St);15139;31;13;6441;13;4;1723;3;2;–;–;–;–;–;–;2088;3;2;360;–;1;1100;2;1;2467;3;3;960;3;–
9362;    Regensburg (Krfr.St);115502;60653;58956;1697;;9362;    Regensburg (Krfr.St);58956;32;20;15144;7;6;12791;5;6;–;–;–;2621;2;–;7201;3;3;1958;1;1;3482;2;1;8705;7;1;7054;3;2
9363;    Weiden i.d.OPf. (Krfr.St);34213;17750;17222;528;;9363;    Weiden i.d.OPf. (Krfr.St);17222;29;11;5834;11;3;1699;1;3;–;–;–;1073;2;–;4476;5;5;892;2;–;792;2;–;1640;4;–;816;2;–
9371;    Amberg-Sulzbach (Lkr);84134;55223;53884;1339;;9371;    Amberg-Sulzbach (Lkr);53884;353;77;20710;120;29;1426;3;3;908;6;1;–;–;–;10561;55;15;–;–;–;4864;39;7;14959;100;21;456;2;1
9372;    Cham (Lkr);104493;71130;69538;1592;;9372;    Cham (Lkr);69538;524;79;14714;89;21;1265;2;3;2444;15;1;37;–;–;1844;5;3;565;2;–;11640;94;12;36624;264;39;405;2;–
9373;    Neumarkt i.d.OPf. (Lkr);104358;69510;67862;1648;;9373;    Neumarkt i.d.OPf. (Lkr);67862;314;77;25979;113;23;4905;9;9;1741;9;1;114;1;–;7602;24;12;650;2;–;9944;34;8;16071;88;23;856;3;1
9374;    Neustadt a.d.Waldnaab (Lkr);77191;55452;54441;1011;;9374;    Neustadt a.d.Waldnaab (Lkr);54441;434;121;24125;186;49;434;2;3;297;4;–;224;2;–;12204;75;36;–;–;–;4697;24;9;12460;108;24;–;–;–
