Gemeindefinanzen seit 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fortschreibung des Bevцlkerungsstandes;;;;
95;  Mittelfranken;6846108;1387545;971200;819719;2650711;9604;285363;1002569;1149144;196966;171078;2518487;1959748;519581;1666236;2502731;Ц;6922010;1427082;982560;951517;2576506;9528;285215;962467;1096774;215234;88143;2422640;2081704;541533;1775193;2500052;Ц;7510355;1497915;1089163;1013316;2969956;9542;289832;1285132;1165467;212126;113130;2840418;2150475;514405;1794664;2519110;Ц;7396355;1547815;1102269;988100;3016886;9514;294633;1319652;1192712;192219;136197;2881820;2255401;541565;1890098;2699136;Ц;8296843;1642600;1181600;1034300;3237982;9568;294148;1434332;1296307;195212;125740;3090567;2473136;537271;2028307;2805571;Ц;1773630;1775122;1775645;1777614;1786559
96;  Unterfranken;4657676;837539;630347;706203;1597883;8726;161495;517270;790151;117131;116885;1641209;1352343;326922;1108645;805424;Ц;4842602;859958;637188;808706;1625299;8735;164751;566449;754141;127994;53748;1651949;1397738;336963;1141011;816589;Ц;4989092;892566;639163;802579;1706759;8733;168031;601254;800311;124966;65896;1753049;1383218;345915;1125424;856710;Ц;5042303;920872;690104;782754;1809639;8758;170986;693809;819026;113249;76267;1856762;1531821;339480;1197895;876185;Ц;5497644;1007954;795368;840368;1905815;8709;171437;716598;890165;115013;73545;1953172;1541408;378632;1226309;870906;Ц;1317065;1316650;1318546;1309541;1312330
97;  Schwaben;6259805;1151098;828525;1081489;2483076;14375;254558;869918;1164961;163611;197272;2543266;2018314;414267;1479963;1347393;Ц;6467454;1231861;821571;1173543;2497318;14376;259219;919385;1111871;178786;91189;2522475;2089165;460678;1574601;1399314;Ц;6715768;1280764;874589;1157682;2753758;14394;264376;1079073;1192910;181022;118953;2820116;2158622;456391;1595365;1465081;Ц;7104962;1347717;964839;1182209;2926183;14366;268878;1237557;1220720;163990;138434;2994458;2313941;458227;1680325;1510286;Ц;8049603;1533424;1059240;1331111;3038758;14522;271664;1237633;1326748;166544;137689;3110744;2456150;498088;1793621;1634517;Ц;1894258;1901446;1911904;1895497;1911664
9161;    Ingolstadt (Krfr.St);633522;135142;79899;79133;292170;209;28495;128662;103294;31267;21151;278791;176813;34880;170907;Ц;Ц;691282;153052;86132;76405;194493;206;28763;32512;98587;34167;5080;186992;213253;23719;182860;Ц;Ц;675065;151484;98059;90277;238422;206;30152;68467;107057;32268;9528;229380;242276;9583;191357;Ц;Ц;679348;175007;102855;94315;267413;206;29546;98569;109544;29252;5620;256773;228637;21641;194538;Ц;Ц;777879;192286;106091;92461;349677;209;31423;168981;119058;29708;20263;334992;221913;36274;202274;Ц;Ц;137116;136815;137310;136753;139123
9162;    Mьnchen, Landeshauptstadt;8089699;2239179;1626326;1070831;4306854;257;326989;2383958;1271346;312581;306089;3582038;2727691;47062;2156678;636056;Ц;8558042;2391642;1727814;1133734;3518310;231;327990;1624079;1213408;341572;123197;2982237;3040963;Ц;2353353;1544341;Ц;8615268;2427239;1733413;1015209;5129134;247;334535;3151945;1284960;346189;204585;4254437;3138854;Ц;2413969;1536300;Ц;8747746;2483464;1675540;1109919;4955513;244;336839;2973036;1315028;313614;268286;4096290;3126782;Ц;2397922;2581001;Ц;10282848;2646751;1903572;1299380;5282252;234;339587;3177569;1429247;318498;226290;4403152;3770456;Ц;2897259;3997856;Ц;1474387;1484676;1487560;1481281;1480941
9163;    Rosenheim (Krfr.St);214188;46291;43096;23669;90103;53;11371;29690;40482;8392;5606;85826;69348;25020;73923;57185;Ц;212501;48350;46333;29136;97806;53;11526;38301;38637;9170;2884;92228;77988;22788;78697;56121;Ц;220587;50187;48800;20140;94131;53;11496;32665;40972;8819;3507;89878;74235;26084;78724;50537;Ц;223730;53879;48286;24465;110893;49;11449;49349;41931;7993;4709;105525;79672;25375;81072;49537;Ц;263665;58799;55787;30152;124873;54;12021;58974;45573;8118;5305;119244;78852;30756;86359;56537;Ц;63387;63402;63503;63238;63985
9171;    Altцtting (Lkr);462883;44806;50895;75081;161828;918;11127;67763;69620;12196;13026;177230;182059;14812;102956;95418;Ц;443255;46326;49403;75445;150559;910;11520;58162;66447;13328;9013;159948;177230;16555;97354;107480;Ц;512383;48851;51708;66191;200650;910;11673;104639;70239;12976;8323;215565;145600;17083;80084;106021;Ц;586234;52266;62170;94588;249776;904;11902;153106;71883;11760;22066;271873;185303;16627;101882;114560;Ц;565304;58312;66220;86414;250429;1012;12053;147066;78126;11943;19891;278205;185897;17482;95812;118371;Ц;111348;111217;111936;112015;112616
9172;    Berchtesgadener Land (Lkr);326900;62570;51786;63896;122145;586;13262;44914;55017;7300;10948;129050;95950;23136;67014;74572;Ц;339876;65406;46928;52721;125878;621;13753;50022;52510;7977;4827;132670;100193;24769;72733;73515;Ц;372745;69433;50924;71643;135565;622;14183;53543;57875;7977;6618;143538;108754;20621;75376;75646;Ц;362885;74691;55548;62442;147692;626;14010;64923;59215;7228;7972;156421;116952;22389;82585;91624;Ц;413523;81933;58894;82112;158150;609;13827;70001;64358;7340;7956;167618;120253;25588;84358;105500;Ц;105903;106159;106483;104016;104922
9173;    Bad Tцlz-Wolfratshausen (Lkr);390433;57914;52349;79297;172087;729;14547;57506;90191;8045;13319;176946;134149;16096;80606;52898;Ц;404937;61752;51997;86223;168549;629;14802;57125;86081;8791;5105;171883;140888;19434;85746;48719;Ц;400042;64388;53864;65599;173663;671;15379;56384;90803;9049;6052;178644;151102;13158;85101;51489;Ц;405861;67241;59283;70478;185624;679;15582;66733;92930;8196;7536;191001;153093;16978;88094;47447;Ц;458230;72687;60979;86616;201600;682;15323;74415;101002;8324;8087;207657;157723;18917;90062;55530;Ц;127598;128023;128295;129205;129496
9174;    Dachau (Lkr);477563;75899;53873;87725;208517;1015;16169;61218;121000;8710;14104;220999;178910;18794;107657;89005;Ц;531907;85499;51872;96431;204108;1035;16710;60933;115486;9518;7005;213774;185463;19042;108267;109562;Ц;489802;86990;51964;95838;220821;1049;17488;68232;123795;9795;7743;232550;191871;16714;108139;121066;Ц;490006;90416;58285;78261;231988;1049;18034;76847;126682;8872;9063;241883;198285;20949;114888;129792;Ц;548628;101242;62327;89645;256402;1062;17897;90214;137685;9010;9844;268108;207751;23878;120496;144312;Ц;154544;154913;155461;150573;151764
