Landtagswahlen seit 1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;  Oberbayern;2821252;1920531;3840784;3787704;2012145;–;–;266768;1051194;123951;2847163;1997023;3993398;3947796;2184650;101985;–;286198;995243;76521;2966583;1739096;3477735;3432646;2067520;86584;–;336685;681651;102889;3089041;1842163;3684029;3618682;1421917;317491;–;473780;697742;363189;3168232;2086697;4172766;4111155;1938424;293449;–;408719;908839;161888;3203709;2391331;4781698;4734271;1596021;494662;405416;1054923;443420;302806;3202411;2349508;4697817;4643274;1609824;675368;520994;894284;387227;190047
92;  Niederbayern;850063;541081;1082129;1064611;611200;–;–;48164;270602;25640;873914;575081;1150134;1132830;631930;51845;–;44184;283889;14191;905155;475370;950712;934396;606726;57631;–;41385;132330;19327;919436;495227;990442;975648;444184;125458;–;56653;137724;80227;929481;555421;1110821;1094786;552221;157624;–;64206;153055;39289;935525;651238;1302450;1288516;490756;230015;172876;136501;81591;60639;933244;683130;1366242;1354013;429120;402629;242784;96504;71833;32099
93;  Oberpfalz;794308;549063;1098080;1081074;591685;–;–;43570;343101;21424;810014;574906;1149755;1133604;612706;45977;–;42581;349632;13230;830498;473376;946716;930788;582665;48236;–;47060;178960;15967;842653;490652;981260;965101;429047;131458;–;54141;182162;56320;849201;541507;1082962;1064607;530717;132189;–;60524;208115;19829;851366;620400;1240716;1227582;489188;172708;151296;152204;117773;43924;846760;633018;1265985;1257408;487487;228057;223034;122291;95537;27795
94;  Oberfranken;849741;590063;1180091;1162425;582079;–;–;58541;419409;23777;854940;603856;1207667;1190077;566557;47237;–;49484;428983;17762;861067;499233;998444;981868;581539;42542;–;52670;233227;22672;857540;495705;991387;973051;434827;104208;–;65368;206271;64160;849814;535850;1071620;1054560;484383;98089;–;75206;245309;29061;839098;594612;1189203;1176843;470793;129712;132239;154816;160317;50020;820090;602990;1205971;1195790;481744;178045;207627;120644;121592;26780
95;  Mittelfranken;1215839;842947;1685332;1663777;775243;–;–;97449;636028;49931;1216480;867683;1734952;1716928;801551;50266;–;91212;651698;28406;1237747;718572;1436966;1418303;786366;56652;–;122061;353430;36399;1261932;747623;1495113;1476334;645628;136918;–;128135;333871;90117;1277599;808035;1615650;1591080;685156;119453;–;157182;391716;46996;1274988;910945;1821473;1806071;680940;155759;171825;335206;215629;74955;1262251;909435;1818642;1804574;733528;172099;249643;295591;192782;43749
96;  Unterfranken;973634;675221;1350382;1329720;720209;–;–;90894;388591;38269;988820;706208;1412329;1393008;735857;68611;–;80889;382006;24011;1011108;585870;1171608;1149122;696862;52856;–;87933;211243;32644;1024234;592696;1185367;1163947;550648;119103;–;98175;194646;78484;1023250;656494;1312948;1291304;647443;105324;–;114997;252401;37641;1013948;729411;1458784;1443891;598126;132470;141832;235182;145956;69840;1000230;741222;1482398;1467633;611164;179068;228188;198158;137383;38401
97;  Schwaben;1238695;807597;1615109;1580570;871327;–;–;108346;397695;44313;1254824;851091;1700429;1672666;914513;80194;–;97908;410449;27667;1296358;713556;1427033;1401612;896186;66805;–;105256;221424;33833;1326581;734290;1468406;1439512;677709;151260;–;122859;220021;114730;1344436;821391;1642602;1614300;798081;156425;–;138539;277966;55334;1360794;954099;1908088;1887573;720257;257466;213138;323524;144392;88315;1365614;976504;1952867;1936090;706704;328583;328165;245253;134399;55016
9161;    Ingolstadt (Krfr.St);78540;49870;99740;97697;53159;–;–;4126;30628;1705;80224;50734;101468;99801;54786;2048;–;4767;29162;1101;84335;38503;77005;75602;44569;4281;–;5597;15446;1535;87814;43089;86168;84123;33568;9666;–;7074;16605;6858;89885;49852;99702;98035;48957;7425;–;7455;19883;3142;90643;58016;116030;114673;41567;8532;14766;19033;10434;7943;88380;56141;112282;110819;39830;13340;18499;15329;9672;5222
9162;    München, Landeshauptstadt;844491;549291;1098374;1087246;470628;–;–;88759;410590;44739;816815;552900;1105571;1095594;515145;9608;–;109581;362182;26991;829827;457426;914559;904730;440417;10678;–;113413;272753;35787;882602;503018;1005863;992578;315009;40907;–;143055;279727;124738;909641;570275;1140047;1125726;412982;51551;–;136253;361663;62802;910459;662203;1323553;1313297;325158;80591;84881;408606;168679;114975;910084;629196;1257836;1242209;354281;86482;88349;381676;150404;74943
9163;    Rosenheim (Krfr.St);40861;25340;50674;49772;25942;–;–;3338;11616;1434;40145;25047;50087;49299;25968;1152;–;3110;12021;839;41041;21237;42454;41729;24722;722;–;3650;8250;881;40902;21314;42624;41662;16962;2646;–;5371;7576;3477;41312;23848;47695;46879;22763;2842;–;4853;8942;1319;41029;27981;55949;55235;18791;4910;6405;11533;4508;3240;40262;26840;53672;52871;17907;6321;7140;10125;4410;2057
9171;    Altötting (Lkr);77718;53504;107004;104858;63260;–;–;5528;23806;2789;80036;55237;110474;108605;67217;2482;–;4097;24532;1983;82502;47426;94852;92871;63051;1544;–;4528;14656;2627;82425;46514;93028;90700;42212;9549;–;7084;16060;6822;82685;51279;102558;100614;55368;7171;–;5424;20543;2010;82670;56649;113298;111749;49277;13426;12089;12798;10768;3880;81837;58056;116110;114695;45737;20398;19746;10430;6775;2782
9172;    Berchtesgadener Land (Lkr);71859;48523;97046;95093;56405;–;–;7004;19785;2180;71359;48717;97433;95861;60095;2066;–;5744;19264;1259;72536;40552;81102;79551;54049;2433;–;6296;10531;1216;73640;42578;85155;82882;39490;5733;–;14982;9278;5060;74260;45683;91362;89479;48943;8937;–;9039;12811;1922;74266;52448;104896;103274;43725;13800;10612;16389;6800;3808;73645;51685;103369;101807;38945;23167;14939;11136;5208;1920
9173;    Bad Tölz-Wolfratshausen (Lkr);80482;57737;115474;113086;71846;–;–;8574;20301;2618;82563;60074;120147;117956;76573;4465;–;7517;19805;1685;86499;54239;108477;106707;74318;2064;–;7588;14426;2685;89697;53537;107073;104666;45544;14648;–;11384;13589;10106;91430;61371;122737;120617;64359;11943;–;9154;19570;3808;92307;68968;137936;136398;53666;15416;11372;28880;8051;6518;92389;69317;138632;136872;52435;24157;17535;21032;7862;4252
9174;    Dachau (Lkr);86236;59592;119183;117300;66576;–;–;6861;26224;2898;89172;64289;128222;126773;72682;8048;–;7723;26478;1892;93859;55262;110504;109086;71267;4780;–;8736;18013;2339;97349;59836;119663;117322;47406;12853;–;10709;25884;9719;101502;70310;140617;138628;69840;11523;–;8309;31168;3146;104705;81301;162594;161033;57574;21507;14647;27479;17040;8702;105133;80069;160135;158503;59818;26818;18537;23140;12665;5104
9175;    Ebersberg (Lkr);79491;56796;113587;112244;61500;–;–;8711;28182;4251;82838;61737;123472;122188;69302;2512;–;8280;30146;2754;87963;56838;113672;112330;70557;3173;–;10887;20612;3642;92013;60526;121039;118829;48866;11122;–;15881;20422;12680;96011;68034;136066;134236;64178;9095;–;13638;29460;5653;99240;79235;158465;157012;56511;13748;11466;34085;16613;10514;99620;78648;157293;155593;59208;20071;15373;27888;15009;6483
9176;    Eichstätt (Lkr);79649;58590;117175;115195;70094;–;–;4747;31319;1468;83538;63101;126200;124642;73957;5039;–;4772;32034;1004;89535;56295;112590;110979;72792;6780;–;5112;18811;1551;93691;60007;120001;117843;54343;18820;–;7538;19407;6554;95753;67014;134018;131960;75705;12056;–;5931;23249;2285;97666;75191;150381;148903;65552;18198;16909;17359;11116;6167;98262;77155;153734;152294;63381;27265;23697;13789;9890;4373
9177;    Erding (Lkr);73837;51019;102034;100649;61379;–;–;4958;19824;2284;78902;56034;112066;110862;65678;2227;–;5230;22141;1418;86983;52111;104220;102959;67133;1957;–;6513;17392;2229;91976;56573;113146;111368;47126;14597;–;11175;14612;8635;95688;65399;130795;128791;65948;12289;–;11453;18777;3115;99451;77171;154340;152801;57409;21681;16689;24563;10278;6553;100244;77354;154705;153123;58860;30385;20983;18146;9143;4137
9178;    Freising (Lkr);96021;63911;127821;126083;68351;–;–;15715;26966;3384;100927;70637;141270;139722;82741;5198;–;10948;27441;2127;108789;64848;129690;128099;79462;5594;–;17289;16863;3185;115938;69840;139677;137146;43375;24198;–;32253;15466;10211;118867;80234;160453;158209;65973;20740;–;29801;23151;3974;120712;91939;183858;182023;51714;35064;17319;42785;10874;8519;120611;90104;180207;178345;57599;37219;20575;32206;11255;5155
9179;    Fürstenfeldbruck (Lkr);138071;98114;196223;194056;99682;–;–;15286;56834;6783;139414;102813;205626;203801;107071;9703;–;18494;50943;3703;145447;90579;181149;179213;104108;7715;–;24085;32619;4691;149113;94126;188221;184827;72155;16124;–;29520;35241;18137;153418;107416;214809;211964;98241;15296;–;22721;49545;7373;153673;119257;238502;236350;78864;27342;19503;55798;21671;13957;150898;114720;229433;226968;82772;32268;22476;42567;20654;8342
9180;    Garmisch-Partenkirchen (Lkr);63512;44119;88231;86629;55827;–;–;5093;12761;2080;63288;44942;89884;88563;56827;4322;–;5332;12949;1425;64385;38759;77518;76254;56160;1271;–;4304;7464;1940;64741;38422;76843;74970;35650;7810;–;5983;8053;6895;65083;42986;85968;84363;46429;9045;–;4952;10587;2836;65194;48513;97024;95758;39119;16467;8530;15805;4518;3543;64264;47904;95808;94547;37138;19583;11722;11908;4525;2289
9181;    Landsberg am Lech (Lkr);70894;48197;96393;94782;55657;–;–;6162;22369;2180;74433;52482;104964;103599;62112;1862;–;7569;21295;1545;79777;49815;99626;98183;62612;2218;–;11898;13508;2533;84244;52207;104413;102492;46506;5870;–;15561;14500;9504;87008;59823;119646;117849;61041;6346;–;14112;20277;3134;89870;69987;139972;138294;50183;12387;11437;34865;9204;7353;91092;70511;141021;139313;49793;18952;17172;27668;8167;4161
9182;    Miesbach (Lkr);65691;45975;91950;90684;55793;–;–;4450;18532;2522;65985;47403;94804;93648;59127;2180;–;4647;18935;1902;68908;43242;86481;85280;56647;1349;–;7451;14839;2194;70911;43963;87925;85899;36800;10034;–;10792;11841;9120;71996;49855;99709;98153;55386;7756;–;7781;15612;3244;72825;55831;111660;110355;46006;13707;8811;19491;7789;5830;72587;55404;110806;109398;42716;22213;11895;15489;6212;3999
9183;    Mühldorf a.Inn (Lkr);77457;51171;102338;100546;63236;–;–;4380;19173;2449;79551;52944;105886;104316;66386;5058;–;3977;19881;944;82533;46581;93156;91765;66916;1420;–;5002;10946;1681;83526;47068;94132;92048;48757;8487;–;8201;10824;6076;84158;52667;105329;103690;62879;6458;–;5487;16414;1844;85378;60949;121897;120354;55242;11575;14749;13618;9947;3907;85893;61966;123930;122337;45658;27429;21276;11303;5351;2854
